Rank,Player,ELO,Games,Wins,Win Rate,Peak,Last
48,Rabbitwarlord+1983,1268.063409079786,26,7.0,26.9%,1423,-8
-,lazarus210,1267.8457525714468,0,0.0,0.0%,1268,0
-,Cabbage0642+3776,1267.1537509696554,0,0.0,0.0%,1267,0
-,Plush2+8334,1267.002359848703,1,1.0,100.0%,1267,+71
49,1coolguy+6294,1266.1418979623336,17,4.0,23.5%,1341,+34
-,Shrek+876,1265.7669625682595,1,1.0,100.0%,1266,+63
-,ShowStopperW+549,1264.0021535881065,0,0.0,0.0%,1264,0
50,cliuless+2304,1263.293726719736,19,4.0,21.1%,1321,-6
51,Tolfan,1261.2425503414186,116,35.0,30.2%,1346,-6
-,Mindger+7576,1259.4003809846863,0,0.0,0.0%,1259,0
-,ionou21+8459,1258.097057256085,2,1.0,50.0%,1266,-10
52,CosmicCant+3836,1257.6310547033727,20,5.0,25.0%,1279,-7
53,Tad604+8004,1256.8642321907946,41,11.0,26.8%,1457,-8
-,MrDrouf+3826,1256.3105702195985,0,0.0,0.0%,1256,0
-,Gabobs+7758,1256.0923545220332,7,3.0,42.9%,1273,-20
-,CommonGibbon+5852,1254.9788721715822,3,1.5,50.0%,1279,-27
54,chibimori+1707,1254.6976658364185,15,4.0,26.7%,1316,-9
-,aelisheneithlon+4087,1254.1054474268055,0,0.0,0.0%,1254,0
55,Jasiuńcio+3892,1252.794820149623,15,4.0,26.7%,1284,+28
-,pizzamagican+4983,1252.705135318843,2,1.0,50.0%,1253,+69
-,Nymmer+3243,1252.5707883242815,2,1.0,50.0%,1253,+67
56,Dramsss+1,1251.9046328033317,57,16.0,28.1%,1412,-5
-,Vagabond Glazer+6268,1250.4589299716906,1,0.0,0.0%,1260,-12
57,AcolyteOfRoot+4294,1250.351567466238,12,3.0,25.0%,1298,-12
-,ominouscat+4065,1249.6696099503085,1,1.0,100.0%,1250,+47
-,ImJustExisting+9170,1247.1551829943785,0,0.0,0.0%,1247,0
-,KarmaBurn+1193,1244.9351798734008,0,0.0,0.0%,1245,0
58,SlickAngel+9821,1244.8842497909689,23,7.0,30.4%,1263,+31
59,Wubba+9310,1242.7962798617118,50,13.0,26.0%,1319,-8
-,Mohammad+8142,1240.88535994393,0,0.0,0.0%,1241,0
-,Napalminthebirdsong+5528,1240.3517586193527,0,0.0,0.0%,1240,0
-,Furry0329+6442,1238.1238292630935,1,0.0,0.0%,1243,-8
-,pwarren8590+4047,1237.9730779641504,0,0.0,0.0%,1238,0
60,Waferseeker95+4351,1237.8940761123972,30,9.0,30.0%,1365,-9
-,Cotton+4951,1237.67424224398,3,1.0,33.3%,1250,-15
-,Bengal3+6710,1237.0342396463982,2,0.0,0.0%,1268,-11
-,KuperMeister+8518,1236.3659432909617,4,1.0,25.0%,1289,-17
61,MylesMoose+6850,1236.1429658036363,15,5.0,33.3%,1236,+31
62,DanzigMF+6351,1234.507363741086,28,7.0,25.0%,1279,-9
-,Octavius+8289,1233.7116502008937,0,0.0,0.0%,1234,0
63,lumpyprol+3206,1233.658691848758,47,11.0,23.4%,1295,-9
-,ToasterTrash+8502,1232.6412468327158,0,0.0,0.0%,1233,0
-,weirdone+8473,1231.861912792935,5,2.0,40.0%,1232,+61
-,hakoo,1230.8785929583548,0,0.0,0.0%,1231,0
64,CowOnAPlane+3405,1230.8269981538358,60,14.0,23.3%,1280,-4
-,udon66+6395,1230.1609753268688,0,0.0,0.0%,1230,0
-,HungryJeff+6786,1228.2104989174584,1,1.0,100.0%,1228,+64
65,fadingnovel+7335,1227.6009317606693,21,4.0,19.0%,1322,-7
66,MagZeppelin+4248,1227.329223538885,53,12.0,22.6%,1319,-4
-,Ptitmxz+6986,1227.3193928754297,4,1.0,25.0%,1247,-22
-,Jalapeno+9238,1225.55323878356,9,3.0,33.3%,1342,-23
-,TAKSpx+9156,1224.4634976669006,0,0.0,0.0%,1224,0
-,uwtron+573,1224.4395958913983,0,0.0,0.0%,1224,0
-,Perdita+9449,1224.4083375879488,0,0.0,0.0%,1224,0
-,BuliBaka+6658,1223.948750759503,0,0.0,0.0%,1224,0
-,RustySpruce+2483,1223.4359221157165,3,1.0,33.3%,1266,-17
-,GlisteningGeetus+4225,1223.181057958569,0,0.0,0.0%,1223,0
-,Acecreamsundae+1472,1222.4869120402498,0,0.0,0.0%,1222,0
-,Musicalwoofy+7712,1222.239769562388,6,2.0,33.3%,1229,-10
-,Sjepeal+9206,1220.8350678309498,0,0.0,0.0%,1221,0
-,TheDolphinman+2630,1220.4008272976366,0,0.0,0.0%,1220,0
67,Niruu+622,1218.1555957175822,63,17.0,27.0%,1343,-5
-,Bodnamax+6783,1215.0363598714478,0,0.0,0.0%,1215,0
68,MunkeyBrewster+2527,1211.6814279475113,10,2.0,20.0%,1228,+62
-,Daz257+7505,1210.1103061668252,5,1.0,20.0%,1210,+62
-,BetterPools+6450,1209.8269070168776,4,1.0,25.0%,1267,-12
-,BjarkeHuse+2923,1209.1911090274566,0,0.0,0.0%,1209,0
-,StatzoryTheMad+7951,1209.1048417637196,4,1.0,25.0%,1225,-19
-,PacificCold+7409,1205.9996366326225,4,1.0,25.0%,1230,-27
69,Intraceptor+5437,1204.626489516683,16,3.0,18.8%,1332,-10
70,LutherStr+1358,1204.3610700861316,12,1.0,8.3%,1351,-6
-,StoneOfShame+5048,1203.7418489026809,5,1.0,20.0%,1204,+69
71,AERotters+5277,1202.6783290613248,105,25.0,23.8%,1310,-3
-,ToughHazelnut+1523,1202.4787722716912,6,1.0,16.7%,1216,-7
-,Temperz87+4696,1202.0319343391548,9,2.0,22.2%,1219,-20
-,Lambo+7524,1201.2597205389086,2,1.0,50.0%,1213,-15
-,Hydro033+5014,1200.9012522028816,2,0.0,0.0%,1237,-19
72,ColPop+9146,1200.2359922516678,18,4.0,22.2%,1341,-7
73,pheobii+5175,1200.1635629000787,11,2.0,18.2%,1203,-6
-,FamilyTuber+3701,1197.9425313517947,6,1.0,16.7%,1205,-10
-,fbd117+324,1197.4415727528717,12,3.0,25.0%,1309,-3
-,Oriol+2638,1195.7383107349513,1,0.0,0.0%,1220,-27
-,FausDav+5901,1195.2149895832702,0,0.0,0.0%,1195,0
-,LHlegend+5313,1194.796009900634,3,1.0,33.3%,1223,-18
-,Axolatal,1193.724818544403,0,0.0,0.0%,1194,0
-,Olymp+9823,1193.606794393574,0,0.0,0.0%,1194,0
-,Karcher+6280,1193.011802064696,4,1.0,25.0%,1243,-20
-,kamomileTea+4472,1192.8749910251847,1,0.0,0.0%,1200,-10
-,Tagatu+7056,1192.6868181250807,6,1.0,16.7%,1200,-10
-,deriokle+4319,1192.3158249604826,0,0.0,0.0%,1192,0
-,SMenefee+4066,1192.1686924553048,0,0.0,0.0%,1192,0
-,RiverKawaii+4578,1192.1102348888264,1,0.0,0.0%,1200,-11
-,Cutoopen+2335,1191.3493033775837,1,0.0,0.0%,1200,-12
-,Anton+562,1191.2997970514632,1,0.0,0.0%,1200,-12
-,Mati92+4633,1191.1886433549628,0,0.0,0.0%,1191,0
-,ExecutedByGromp+3925,1190.852684369133,1,0.0,0.0%,1200,-12
-,ChusGG+6807,1190.6758505343882,0,0.0,0.0%,1191,0
-,MisterGume+9687,1190.61676504637,0,0.0,0.0%,1191,0
-,Xerof+7582,1190.4617902453788,1,0.0,0.0%,1200,-12
-,Traestaree+7134,1190.3971525495585,1,0.0,0.0%,1200,-12
-,Pi314+6815,1190.2472630924187,0,0.0,0.0%,1190,0
-,tobin+8390,1190.1191821434259,1,0.0,0.0%,1200,-13
-,Yojimbo+9872,1190.043811744078,1,0.0,0.0%,1200,-13
-,Hadjiya+4475,1190.005370205596,7,2.0,28.6%,1253,-12
-,halzyen+4113,1189.7797178904934,1,0.0,0.0%,1200,-13
-,sda1611+3493,1189.6348762092814,0,0.0,0.0%,1190,0
-,Mariv+2352,1189.3768573547738,1,0.0,0.0%,1200,-14
-,sedlak87+8418,1189.330244981445,0,0.0,0.0%,1189,0
-,Youdge+8117,1189.085442970951,13,2.0,15.4%,1303,-5
-,LittleHalo+9882,1188.8788130997948,1,0.0,0.0%,1200,-14
-,Starcore6+817,1188.8431991057105,1,0.0,0.0%,1200,-14
-,vanillapoppy+9303,1188.7271085124432,0,0.0,0.0%,1189,0
-,CocoMocoMan+3134,1188.6792866243518,1,0.0,0.0%,1200,-14
-,Lynxtek+4186,1188.6616105976923,0,0.0,0.0%,1189,0
-,DarkOwl+5198,1188.6487194031993,1,0.0,0.0%,1200,-14
-,clp10033+4124,1188.5243653574587,0,0.0,0.0%,1189,0
-,Shadyferret+9636,1188.458098066816,0,0.0,0.0%,1188,0
-,Shuuhey+6535,1188.1336750619255,0,0.0,0.0%,1188,0
-,ArionGekkota+7361,1187.974868455565,1,0.0,0.0%,1200,-15
-,Libitina114+7177,1187.6976724452209,0,0.0,0.0%,1188,0
-,CWise+6651,1187.5752724364809,1,0.0,0.0%,1200,-15
-,LittleHalo+9982,1187.1825773042412,1,0.0,0.0%,1200,-16
-,SimulatedBeehive+1517,1186.921375462348,1,0.0,0.0%,1200,-16
-,BaconBoy+9689,1186.7492865340312,6,1.0,16.7%,1193,-9
-,Raineweather05+2319,1186.7192917583398,0,0.0,0.0%,1187,0
-,mwcrabtree,1186.586472325511,0,0.0,0.0%,1187,0
-,FelipeRocha+9451,1186.5119563830967,0,0.0,0.0%,1187,0
-,mysti+7857,1186.3934769216407,0,0.0,0.0%,1186,0
-,Akriuss+573,1186.3418837904585,1,0.0,0.0%,1200,-17
-,GameProfit+8226,1186.3105861815825,0,0.0,0.0%,1186,0
-,ChrD99+1022,1186.2695390147092,1,0.0,0.0%,1200,-17
-,DegenerateIan+7146,1186.165836127264,0,0.0,0.0%,1186,0
-,Rhyno+5128,1186.1176758549389,1,0.0,0.0%,1200,-17
-,tubaking+4200,1186.030347720664,0,0.0,0.0%,1186,0
-,Clink+5884,1185.9449062516248,0,0.0,0.0%,1186,0
-,Demand+3288,1185.9449062516248,0,0.0,0.0%,1186,0
-,ThoseTeeff+4061,1185.7062092987949,0,0.0,0.0%,1186,0
-,chosennuttso,1185.582051444783,0,0.0,0.0%,1186,0
-,Nuttsy+5282,1185.582051444783,0,0.0,0.0%,1186,0
-,Julien+5506,1185.582051444783,0,0.0,0.0%,1186,0
-,HoosierDaddy+4463,1185.53841606931,0,0.0,0.0%,1186,0
-,Sebby+9924,1185.4758983786044,0,0.0,0.0%,1185,0
-,lgtw3450+6602,1185.4504864052624,0,0.0,0.0%,1185,0
-,Snivylover12+1064,1185.4433116611829,29,5.0,17.2%,1315,+33
-,Akayami+8372,1185.422370746416,0,0.0,0.0%,1185,0
-,StrikeOrca+4455,1185.3992590186851,1,0.0,0.0%,1200,-17
-,shurgs+6277,1185.3733922176548,0,0.0,0.0%,1185,0
-,balonthebold+1851,1185.257446085655,1,0.0,0.0%,1200,-18
-,BLULOBSTR+1510,1185.1568473279797,1,0.0,0.0%,1200,-18
-,TurtleJawz+3309,1184.8753465459622,1,0.0,0.0%,1200,-18
-,Vitsky+1201,1184.6819787674099,1,0.0,0.0%,1200,-18
-,Hasan+1782,1184.5829188196128,1,0.0,0.0%,1200,-18
-,FungusMouse+7883,1184.5815875859762,0,0.0,0.0%,1185,0
-,AJIJIi,1184.509143849639,0,0.0,0.0%,1185,0
-,pikeline+9847,1184.4478646298817,0,0.0,0.0%,1184,0
-,Wolvane+1704,1184.403787727612,0,0.0,0.0%,1184,0
-,CroCroCro+9495,1184.390312849811,0,0.0,0.0%,1184,0
-,Hammad+766,1184.277520867259,1,0.0,0.0%,1200,-19
-,stxr444+8143,1184.2504711912716,1,0.0,0.0%,1200,-19
-,WyvernElement+1816,1184.0825538790655,4,1.0,25.0%,1218,-11
-,catscat+1327,1184.0703753846062,0,0.0,0.0%,1184,0
-,Quisyo+8653,1183.9229783539038,2,0.0,0.0%,1200,-10
-,GAFE15+7357,1183.715487960868,0,0.0,0.0%,1184,0
-,KFull+1226,1183.4860416871754,9,1.0,11.1%,1306,-20
-,sasquatch+9509,1183.422342992082,1,0.0,0.0%,1200,-19
-,ForkMaster+8694,1183.4177884990634,0,0.0,0.0%,1183,0
-,Lucat+9382,1183.413836868982,0,0.0,0.0%,1183,0
-,Welllll+4899,1183.3573437079272,1,0.0,0.0%,1200,-20
-,Azdontek+1234,1183.3573437079272,1,0.0,0.0%,1200,-20
-,Plasma+7413,1183.2177180857657,0,0.0,0.0%,1183,0
-,kesitron+187,1183.2065557144006,2,0.0,0.0%,1200,-11
-,StellarHermit+3326,1183.1159196769083,1,0.0,0.0%,1200,-20
-,yoyot1+5057,1183.0063443253907,2,0.0,0.0%,1200,-8
-,Rachel997,1182.9798495435962,0,0.0,0.0%,1183,0
-,MelodiCat+8385,1182.3675338894518,1,0.0,0.0%,1200,-21
-,WWren+25,1182.3448663935662,0,0.0,0.0%,1182,0
-,bigcathedral+1133,1182.2664759233746,1,0.0,0.0%,1191,-12
-,Fluffy+189,1181.9708630839907,1,0.0,0.0%,1200,-21
-,pigdog+4355,1181.8751094654756,7,1.0,14.3%,1223,-10
-,Gibbs+3656,1181.230200140749,0,0.0,0.0%,1181,0
-,Actionman2222+4303,1181.230200140749,0,0.0,0.0%,1181,0
-,ConeMan+3213,1180.464975952094,1,0.0,0.0%,1191,-13
-,evancomposer+2898,1179.8914894790505,1,0.0,0.0%,1187,-10
-,CaptainBork+7195,1179.8121305000498,1,0.0,0.0%,1200,-23
-,BuckeyeNation+0,1179.80681400888,0,0.0,0.0%,1180,0
-,QuixArtagnan+7824,1179.7292181293017,1,0.0,0.0%,1185,-9
-,scaled+326,1179.6204681523695,1,0.0,0.0%,1200,-23
-,Roldan+1152,1179.4977518739524,1,0.0,0.0%,1200,-23
-,themikeman+4306,1179.341917893183,0,0.0,0.0%,1179,0
-,EmbryoticDeth,1179.0032820911397,0,0.0,0.0%,1179,0
-,MrRiceGuy+5849,1178.6960706583118,0,0.0,0.0%,1179,0
-,GuyNXS+7023,1178.4158703660569,1,0.0,0.0%,1200,-24
-,aaronmaik88+3890,1178.1884741694557,1,0.0,0.0%,1200,-25
-,2eaasley+6663,1178.1884741694557,1,0.0,0.0%,1200,-25
-,Cuagodking+3670,1177.903451073042,0,0.0,0.0%,1178,0
-,KyloBot+6508,1177.258686661205,8,2.0,25.0%,1305,-24
-,wherestonks+4878,1176.5811249620442,2,0.0,0.0%,1200,-18
-,secretpaths+8130,1175.8069874751816,0,0.0,0.0%,1176,0
-,Nierxlelx+7709,1175.6236333768163,1,0.0,0.0%,1200,-27
-,DanielJeun+8467,1175.5497817201792,0,0.0,0.0%,1176,0
-,radiantchaos+5523,1175.4051404012791,23,3.0,13.0%,1269,-4
-,IndifferentFish+2547,1174.964608892054,12,1.5,12.5%,1199,-6
-,Rootenthusiast+6637,1174.5445139280907,1,0.0,0.0%,1200,-28
-,Supersingalong+6545,1174.2302586615708,2,0.0,0.0%,1200,-16
-,Lufire+7855,1174.0350061310717,2,0.0,0.0%,1200,-14
-,RFMerlo+6470,1173.6831624689378,0,0.0,0.0%,1174,0
-,goodgamepat+6980,1173.455040103768,0,0.0,0.0%,1173,0
-,TenchRinggold+1755,1172.9424953506577,2,0.0,0.0%,1200,-12
-,benruff+449,1172.911112055952,0,0.0,0.0%,1173,0
-,GamerTower+410,1172.887264938399,1,0.0,0.0%,1190,-20
-,Komasan+7739,1172.6617224949723,0,0.0,0.0%,1173,0
-,EdacM+9189,1172.594502618847,0,0.0,0.0%,1173,0
-,Alexispc+6921,1172.1174911747116,4,1.0,25.0%,1208,-24
-,Lante+1268,1171.794577208202,0,0.0,0.0%,1172,0
-,Hazelnut19+2913,1171.7196771083356,2,0.0,0.0%,1200,-9
-,RedPanda+336,1171.64911970669,1,0.0,0.0%,1200,-31
